	DNA_blank_P1	DNA_blank_P2	EL_003_pre	EL_003_pw	EL_007_un	EL_007_un1	EL_022_pre	EL_023_pre	EL_025_un	EL_025_un1	EL_026_pre	EL_027_pre1	EL_027_pre2	EL_028_pre1	EL_028_pre2	EL_031_pre	EL_032_pre	EL_035_pw	EL_036_pre	EL_036_pw	EL_047_pre	EL_050_pre	EL_050_pw	EL_051_pre	EL_051_pw	EL_052_pre	EL_052_pw	EL_059_pre	EL_059_pw	EL_068_pre1	EL_068_pre2	EL_070_pm	EL_070_pre	EL_070_pw	EL_073_pre	EL_074_pre	EL_074_pw	EL_075_pm	EL_075_pre	EL_075_pw	EL_078_pre	EL_078_pw	FS_006_pre_in	FS_006_pre_out	FS_006_pre1	FS_024_pre	NE.077_pre	NE_002_pre1	NE_002_pre2	NE_002_pw	NE_009_un	NE_009_un1	NE_010_un	NE_010_un1	NE_012_un	NE_012_un1	NE_018_pre	NE_018_pw	NE_021_pre	NE_034_pre	NE_034_pw	NE_035_pre	NE_037_pre	NE_038_pre	NE_041_pre	NE_041_pw	NE_043_pre	NE_056_pre	NE_056_pw	NE_058_pre	NE_058_pw	NE_063_pre	NE_063_pw	NE_066_pre	NE_067_pre	NE_067_pw	NE_069_pre	NE_069_pw	NE_071_pre	NE_072_pre	NE_079_pre	NE_079_pw	PA_001_pre	PA_001_pw	PA_008_un	PA_008_un1	PA_011_un	PA_011_un1	PA_013_pre	PA_013_pw	PA_014_pre	PA_014_pw	PA_015_pre	PA_015_pw	PA_016_un	PA_016_un1	PA_019_pre	PA_029_pre1	PA_029_pre2	PA_029_pw	PA_030_pre1	PA_030_pre2	PA_030_pw	PA_033_pm	PA_033_pre	PA_033_pw	PA_039_pre	PA_040_pre	PA_042_pre	PA_042_pw	PA_044_pm	PA_044_pre	PA_044_pw	PA_045_pre	PA_045_pw	PA_046_pre	PA_046_pw	PA_048_pre	PA_048_pw1	PA_048_pw2	PA_049_pre	PA_049_pw	PA_053_pre	PA_053_pw	PA_054_pre	PA_054_pw	PA_055_pre	PA_055_pw	PA_057_pre	PA_057_pw	PA_060_pre	PA_060_pw	PA_061_pre1	PA_061_pre2	PA_061_pw	PA_062_pre	PA_064_pre	PA_064_pw	PA_065_pre	PA_065_pw	PA_076_pre	PA_076_pw	PA_080_pre	PA_080_pw	PCR_blank_P1	PCR_blank_P2	SPIKE_P1	SPIKE_P2	UP_001	UP_006	UP_006_1	UP_006_2	UP_006_3	UP_006_4	UP_015	UP_030	US_001	US_006	US_006_2	US_006_4	US_015	US_030
Marvinbryantia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Massilia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mediterraneibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Megasphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanobrevibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylobacterium	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylorubrum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micrococcus	0	0.03	0	0	0	0	0	0	0.1	0	0.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0.13	0.12	0.05	0	0	0.01	0	0	0	0	0	0	0	0	0.01	0	0	1.05	0.03	0.03	0.15	0	0	0	0	0	0	0.03	0	0.02	0.01	0	0.06	0.55	0	0	0.79	0.02	0.16	0.03	0	0	0	0.05	0	0	0	0	0	0	0	0	0.01	0	0.05	0	0.05	0	0	0	0	0.26	0.01	0.02	0	0.03	0	0	0	0	0.03	0	0	0	0.03	0.03	0.03	0	0	0	0	0	0	0	0.03	0	0	0	0	0.01	0	0.15	0.01	0	0	0	0	1.12	0	0.52	0	0.03	0	0	0	5.09	0.03	0.1	0	0	0	0	0.03	0.07	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0
Miniphocaeibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mobilicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mobiluncus	0	2.37	0.12	0.46	0.31	0.25	9.07	0.09	2.52	4.2	2.92	8.07	4.5	1.27	1.36	0.68	1.06	8.04	0.4	0.66	5.28	12.21	0.03	0.98	0.3	3.81	5.69	0.8	0.76	0.55	0.51	0.97	1.06	1.15	1.47	0.41	2.01	0.68	2.29	1.91	2.61	1.17	0.54	0.48	0.27	0.22	9.74	0.63	1.21	0.46	2.37	1.11	0.43	2.8	7.55	0.08	0.73	2.77	1.34	2.94	2.47	0.39	4.57	1.71	8.72	0.72	12.29	0.28	1.15	0.32	3.72	4.53	2.78	16.35	3.27	0.7	4.86	1.31	0.82	1.08	6.57	0.33	5.21	1.36	0.7	1.59	2.03	1.6	0.08	1.15	2.2	0.99	0.89	1.58	0.21	1.05	4.37	0.58	0.17	0.03	4.16	5.32	1.15	0.77	0.74	1.72	1.03	0.6	8.6	1.69	2.03	0.33	0.32	0.67	0	0.87	3.22	0.04	1.46	1.3	0.43	0.6	2.46	0.64	1.92	1.31	3.05	2.95	0.16	0.89	0.59	0.92	0.04	0.64	1.1	1.99	0.5	1.42	7.39	2.86	1.34	2.26	0.86	0.54	1.97	1.9	1.14	0.16	0.6	5.85	0.78	1.3	1.03	2.37	5.5	1.02	0.13	3.63	3.88	1.73	1.76	1.49
Modestobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mogibacterium	0	0.02	0	0	0	0	0	0	0	0	0	0	0.02	0.01	0	0	0	0	0	0	0	0.02	0	0.02	0	0	1.13	0	0	0	0	0	0	0	0.01	0.01	0	0	0.03	0.12	0	0.03	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.05	0	0	0.02	0	0	0	0	0	0.02	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.17	0	0	0	0.01	0	0	0	0	0	0	0	0.19	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.01	0	0	0.04	0	0	0	0.03	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.01	0	0.05	0.02	0	0
Monoglobus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Morganella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Moryella	0	0	0	0.02	0.06	0	2.17	0	0.04	0.14	0.05	0	0.03	0	0	0	0	0	0	0	0	0.07	0	0.03	0	0	0	0	0	0	0.08	0.05	0	0	0.11	0.03	0	0.02	0	0.03	0.25	0	0	0	0	0	4.07	0.05	0.03	0	0.09	0.04	0.1	0	0.12	0.01	0.09	0.09	1.77	0.24	0.08	0.03	0	0.02	0	0	0.02	0.06	0	0	0.21	3.89	0.09	0.02	0.05	0.07	0.03	0	0.05	0	0	0	0	0.14	0.13	0.07	0	0	0	0	0.36	0	0.06	0	0.04	0.05	0	0	0	0	0	0.02	0.04	0	0	0	0.05	0	0.03	0	0.06	0	0	0.05	0	0.53	0.12	0	0.09	0	0	0.04	0.02	0	0.04	0	0.09	0	0	0.28	0	0.05	0	0.03	0.05	0.03	0	0.17	0.08	0.2	0	0	0.03	0	0.28	0	0.06	0	0.14	0	0	0	0.09	0.2	0.19	0.2	0	0.21	0	0.1	0	0
Murdochiella	0.54	0.1	0.16	0.06	1.72	0	0.04	0.09	0.22	0.08	0.51	0.04	0.17	0.08	0.05	0.12	0.03	0	0.08	0.03	0.09	0.15	0.02	0.76	0.09	0.41	4.37	0.11	0.05	0.92	1.1	0.06	0.12	0.1	0.08	0.11	0.55	0.04	0.05	0.07	0.7	0.16	2.33	1.75	0.15	0.06	0.55	0.09	0.03	0	1.24	0.11	0.08	0.13	0.94	2.32	0	0.09	0.07	0.1	0	0.02	1.03	0.03	0.1	0.21	1.84	0.74	0.07	0	0.31	0.07	0.83	0.35	0.04	0.06	0.54	0.81	0.05	1.3	0.05	0.08	0.31	0.04	3.28	0.07	0.19	0.1	0.41	0	0.26	0	0.19	0	0.07	0.16	0.17	0	0	0	0.02	0.11	0.12	0	2.61	0	0.32	0.04	0.03	0.06	0	0.09	0.05	0.06	0	0.88	0.18	0.02	0.08	0.11	0.05	0.09	0.08	0.09	0.09	0.26	0.16	0.24	0.05	0.21	0.55	0.19	0.02	0.05	0.16	0.02	0.35	0.17	0.05	0.16	0	0.15	0.07	0	0.45	0.18	0.14	0	0.28	0	0.21	1.34	0.25	0.53	0.15	0.63	0.1	0.35	0.5	0.54	0	0.22
Muribaculaceae	0	0	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
